A Classic Education - NightOwl,2910600,4233600,66,96
ANiMAL - Clinic A,2205000,3528000,50,80
ANiMAL - Easy Tiger,6174000,7497000,140,170
ANiMAL - Rockshow,1455300,2778300,33,63
Actions - Devil's Words,7144200,8467200,162,192
Actions - One Minute Smile,3572100,4895100,81,111
Actions - South Of The Water,3880800,5203800,88,118
Aimee Norwich - Child,1852200,3175200,42,72
Alexander Ross - Goodbye Bolero,7144200,8467200,162,192
Alexander Ross - Velvet Curtain,20065500,21388500,455,485
Angela Thomas Wade - Milk Cow Blues,1719900,3042900,39,69
Atlantis Bound - It Was My Fault For Waiting,9481500,10804500,215,245
Auctioneer - Our Future Faces,5644800,6967800,128,158
AvaLuna - Waterduct,7232400,8555400,164,194
BigTroubles - Phantom,1190700,2513700,27,57
Bill Chudziak - Children Of No-one,3880800,5203800,88,118
Black Bloc - If You Want Success,12965400,14288400,294,324
Celestial Shore - Die For Us,617400,1940400,14,44
Chris Durban - Celebrate,10848600,12171600,246,276
Clara Berry And Wooldog - Air Traffic,4718700,6041700,107,137
Clara Berry And Wooldog - Stella,5027400,6350400,114,144
Clara Berry And Wooldog - Waltz For My Victims,3836700,5159700,87,117
Cnoc An Tursa - Bannockburn,1719900,3042900,39,69
Creepoid - OldTree,2028600,3351600,46,76
Dark Ride - Burning Bridges,8467200,9790200,192,222
Dreamers Of The Ghetto - Heavy Love,10187100,11510100,231,261
Drumtracks - Ghost Bitch,4145400,5468400,94,124
Faces On Film - Waiting For Ga,7497000,8820000,170,200
Fergessen - Back From The Start,1411200,2734200,32,62
Fergessen - Nos Palpitants,3969000,5292000,90,120
Fergessen - The Wind,6129900,7452900,139,169
Flags - 54,4718700,6041700,107,137
Giselle - Moss,6526800,7849800,148,178
Grants - PunchDrunk,7497000,8820000,170,200
Helado Negro - Mitad Del Mundo,5821200,7144200,132,162
Hezekiah Jones - Borrowed Heart,8599500,9922500,195,225
Hollow Ground - Left Blind,4983300,6306300,113,143
Hop Along - Sister Cities,882000,2205000,20,50
Invisible Familiars - Disturbing Wildlife,2822400,4145400,64,94
James May - All Souls Moon,4630500,5953500,105,135
James May - Dont Let Go,2293200,3616200,52,82
James May - If You Say,2910600,4233600,66,96
James May - On The Line,2646000,3969000,60,90
Jay Menon - Through My Eyes,4057200,5380200,92,122
Johnny Lokke - Promises & Lies,8026200,9349200,182,212
Johnny Lokke - Whisper To A Scream,4145400,5468400,94,124
"Jokers, Jacks & Kings - Sea Of Leaves",6570900,7893900,149,179
Leaf - Come Around,8379000,9702000,190,220
Leaf - Summerghost,8379000,9702000,190,220
Leaf - Wicked,4762800,6085800,108,138
Lushlife - Toynbee Suite,9922500,11245500,225,255
Matthew Entwistle - Dont You Ever,3175200,4498200,72,102
Meaxic - Take A Step,1719900,3042900,39,69
Meaxic - You Listen,6085800,7408800,138,168
Music Delta - 80s Rock,176400,1499400,4,34
Music Delta - Beatles,44100,1367100,1,31
Music Delta - Britpop,44100,1367100,1,31
Music Delta - Country1,0,1323000,0,30
Music Delta - Disco,1896300,3219300,43,73
Music Delta - Gospel,1719900,3042900,39,69
Music Delta - Grunge,352800,1675800,8,38
Night Panther - Fire,7100100,8423100,161,191
North To Alaska - All The Same,4277700,5600700,97,127
Patrick Talbot - A Reason To Leave,7320600,8643600,166,196
Patrick Talbot - Set Me Free,6967800,8290800,158,188
Phre The Eon - Everybody's Falling Apart,4454100,5777100,101,131
Port St Willow - Stay Even,10187100,11510100,231,261
Remember December - C U Next Time,8202600,9525600,186,216
Secret Mountains - High Horse,10143000,11466000,230,260
Skelpolu - Human Mistakes,11598300,12921300,263,293
Skelpolu - Together Alone,2910600,4233600,66,96
Snowmine - Curfews,6615000,7938000,150,180
Spike Mullings - Mike's Sulking,4101300,5424300,93,123
St Vitus - Word Gets Around,6129900,7452900,139,169
Steven Clark - Bounty,10407600,11730600,236,266
Strand Of Oaks - Spacestation,2557800,3880800,58,88
Sweet Lights - You Let Me Down,15831900,17154900,359,389
Swinging Steaks - Lost My Way,5071500,6394500,115,145
The Districts - Vermont,8290800,9613800,188,218
The Long Wait - Back Home To Blue,7056000,8379000,160,190
The Scarlet Brand - Les Fleurs Du Mal,2160900,3483900,49,79
The So So Glos - Emergency,5777100,7100100,131,161
The Wrong'Uns - Rothko,3131100,4454100,71,101
Tim Taler - Stalker,1808100,3131100,41,71
Titanium - Haunted Age,5424300,6747300,123,153
Traffic Experiment - Once More (With Feeling),8334900,9657900,189,219
Traffic Experiment - Sirens,9040500,10363500,205,235
Triviul - Angelsaint,8423100,9746100,191,221
Triviul - Dorothy,3175200,4498200,72,102
Voelund - Comfort Lives In Belief,4145400,5468400,94,124
Wall Of Death - Femme,573300,1896300,13,43
Young Griffo - Blood To Bone,8158500,9481500,185,215
Young Griffo - Facade,4674600,5997600,106,136
Young Griffo - Pennies,6438600,7761600,146,176
AM Contra - Heart Peripheral,7276500,8599500,165,195
Al James - Schoolboy Facination,6306300,7629300,143,173
Angels In Amplifiers - I'm Alright,6350400,7673400,144,174
Arise - Run Run Run,3792600,5115600,86,116
BKS - Bulldozer,3572100,4895100,81,111
BKS - Too Much,6659100,7982100,151,181
Ben Carrigan - We'll Talk About It All Tonight,2557800,3880800,58,88
Bobby Nobody - Stitch Up,7232400,8555400,164,194
Buitraker - Revo X,7938000,9261000,180,210
Carlos Gonzalez - A Place For Us,8026200,9349200,182,212
Cristina Vane - So Easy,6791400,8114400,154,184
Detsky Sad - Walkie Talkie,4674600,5997600,106,136
Enda Reilly - Cur An Long Ag Seol,5777100,7100100,131,161
Forkupines - Semantics,4542300,5865300,103,133
Georgia Wonder - Siren,7452900,8775900,169,199
