session_test_id,trial_id,rating_stimulus,rating_score,rating_time,Reference Exclude
mss,trial1,C2,20,73993,n
mss,trial1,anchor70,87,73993,n
mss,trial1,C1,17,73993,n
mss,trial1,anchor35,50,73993,n
mss,trial1,C5,73,73993,n
mss,trial1,C3,100,73993,n
mss,trial1,C4,37,73993,n
mss,trial1,reference,100,73993,n
mss,trial2,reference,100,72745,n
mss,trial2,C3,100,72745,n
mss,trial2,C5,61,72745,n
mss,trial2,C2,10,72745,n
mss,trial2,anchor70,80,72745,n
mss,trial2,C1,28,72745,n
mss,trial2,anchor35,60,72745,n
mss,trial2,C4,10,72745,n
mss,trial3,C1,32,137757,n
mss,trial3,C2,6,137757,n
mss,trial3,C4,60,137757,n
mss,trial3,anchor35,78,137757,n
mss,trial3,reference,100,137757,n
mss,trial3,C5,77,137757,n
mss,trial3,C3,89,137757,n
mss,trial3,anchor70,71,137757,n
mss,trial4,C4,65,93785,n
mss,trial4,C2,85,93785,n
mss,trial4,C1,90,93785,n
mss,trial4,anchor70,100,93785,n
mss,trial4,C3,75,93785,n
mss,trial4,reference,100,93785,n
mss,trial4,anchor35,70,93785,n
mss,trial5,C3,65,93322,n
mss,trial5,anchor70,65,93322,n
mss,trial5,C1,85,93322,n
mss,trial5,C2,90,93322,n
mss,trial5,anchor35,60,93322,n
mss,trial5,reference,100,93322,n
mss,trial5,C4,56,93322,n
mss,trial1,C2,66,75392,n
mss,trial1,anchor35,47,75392,n
mss,trial1,reference,96,75392,n
mss,trial1,C3,97,75392,n
mss,trial1,C5,57,75392,n
mss,trial1,anchor70,75,75392,n
mss,trial1,C1,63,75392,n
mss,trial1,C4,55,75392,n
mss,trial2,anchor35,39,74046,n
mss,trial2,C5,26,74046,n
mss,trial2,anchor70,60,74046,n
mss,trial2,C3,78,74046,n
mss,trial2,C2,0,74046,n
mss,trial2,C1,27,74046,n
mss,trial2,reference,73,74046,n
mss,trial2,C4,12,74046,n
mss,trial3,anchor35,41,57223,n
mss,trial3,anchor70,49,57223,n
mss,trial3,C3,55,57223,n
mss,trial3,C5,23,57223,n
mss,trial3,C2,0,57223,n
mss,trial3,C1,18,57223,n
mss,trial3,C4,12,57223,n
mss,trial3,reference,89,57223,n
mss,trial4,anchor35,58,48259,n
mss,trial4,anchor70,45,48259,n
mss,trial4,reference,78,48259,n
mss,trial4,C1,84,48259,n
mss,trial4,C2,84,48259,n
mss,trial4,C4,6,48259,n
mss,trial4,C3,8,48259,n
mss,trial5,reference,84,59942,n
mss,trial5,C4,16,59942,n
mss,trial5,anchor70,58,59942,n
mss,trial5,C1,74,59942,n
mss,trial5,anchor35,16,59942,n
mss,trial5,C3,4,59942,n
mss,trial5,C2,40,59942,n
mss,trial1,C4,42,699632,n
mss,trial1,C3,82,699632,n
mss,trial1,C2,37,699632,n
mss,trial1,C1,32,699632,n
mss,trial1,reference,99,699632,n
mss,trial1,anchor70,23,699632,n
mss,trial1,anchor35,22,699632,n
mss,trial1,C5,28,699632,n
mss,trial2,C5,73,306554,n
mss,trial2,anchor35,30,306554,n
mss,trial2,C3,75,306554,n
mss,trial2,anchor70,63,306554,n
mss,trial2,C1,21,306554,n
mss,trial2,C4,1,306554,n
mss,trial2,reference,100,306554,n
mss,trial2,C2,1,306554,n
mss,trial3,anchor35,50,136019,n
mss,trial3,reference,99,136019,n
mss,trial3,C1,15,136019,n
mss,trial3,anchor70,61,136019,n
mss,trial3,C2,1,136019,n
mss,trial3,C5,13,136019,n
mss,trial3,C3,99,136019,n
mss,trial3,C4,3,136019,n
mss,trial4,anchor70,75,147555,y
mss,trial4,anchor35,43,147555,y
mss,trial4,reference,6,147555,y
mss,trial4,C3,1,147555,y
mss,trial4,C4,1,147555,y
mss,trial4,C1,77,147555,y
mss,trial4,C2,58,147555,y
mss,trial5,anchor35,48,116688,n
mss,trial5,C1,97,116688,n
mss,trial5,C3,20,116688,n
mss,trial5,C4,21,116688,n
mss,trial5,reference,91,116688,n
mss,trial5,C2,98,116688,n
mss,trial5,anchor70,38,116688,n
mss,trial1,anchor70,70,153090,n
mss,trial1,C4,38,153090,n
mss,trial1,anchor35,37,153090,n
mss,trial1,C3,91,153090,n
mss,trial1,reference,91,153090,n
mss,trial1,C1,15,153090,n
mss,trial1,C5,58,153090,n
mss,trial1,C2,16,153090,n
mss,trial2,C3,100,134428,n
mss,trial2,C5,40,134428,n
mss,trial2,C1,10,134428,n
mss,trial2,reference,100,134428,n
mss,trial2,C4,2,134428,n
mss,trial2,anchor35,26,134428,n
mss,trial2,anchor70,50,134428,n
mss,trial2,C2,0,134428,n
mss,trial3,C4,20,150607,n
mss,trial3,C5,30,150607,n
mss,trial3,reference,100,150607,n
mss,trial3,C3,100,150607,n
mss,trial3,C2,0,150607,n
mss,trial3,anchor70,44,150607,n
mss,trial3,C1,30,150607,n
mss,trial3,anchor35,36,150607,n
mss,trial4,C2,50,137899,n
mss,trial4,C3,30,137899,n
mss,trial4,C1,50,137899,n
mss,trial4,C4,30,137899,n
mss,trial4,reference,100,137899,n
mss,trial4,anchor70,71,137899,n
mss,trial4,anchor35,40,137899,n
mss,trial5,C3,100,12985,y
mss,trial5,reference,100,12985,y
mss,trial5,C1,100,12985,y
mss,trial5,anchor70,100,12985,y
mss,trial5,C2,100,12985,y
mss,trial5,anchor35,100,12985,y
mss,trial5,C4,100,12985,n
mss,trial1,C5,49,190057,n
mss,trial1,anchor35,23,190057,n
mss,trial1,C3,83,190057,n
mss,trial1,anchor70,66,190057,n
mss,trial1,C1,34,190057,n
mss,trial1,reference,100,190057,n
mss,trial1,C4,67,190057,n
mss,trial1,C2,53,190057,n
mss,trial2,C2,0,78672,y
mss,trial2,anchor70,39,78672,y
mss,trial2,C4,7,78672,y
mss,trial2,C3,91,78672,y
mss,trial2,C5,43,78672,y
mss,trial2,C1,4,78672,y
mss,trial2,reference,70,78672,y
mss,trial2,anchor35,25,78672,y
mss,trial3,anchor70,66,96072,n
mss,trial3,anchor35,54,96072,n
mss,trial3,C1,17,96072,n
mss,trial3,C3,86,96072,n
mss,trial3,C5,23,96072,n
mss,trial3,reference,88,96072,n
mss,trial3,C4,5,96072,n
mss,trial3,C2,0,96072,n
mss,trial4,reference,84,64275,n
mss,trial4,C2,71,64275,n
mss,trial4,anchor35,43,64275,n
mss,trial4,C4,31,64275,n
mss,trial4,C3,27,64275,n
mss,trial4,C1,59,64275,n
mss,trial4,anchor70,92,64275,n
mss,trial5,C3,9,59827,n
mss,trial5,C1,100,59827,n
